Word    :   Frequency
ਗੁਰ : 2
ਗੁਰਾ : 2
ਘਟਿ : 2
ਘਾੜਤਿ : 2
ਚਾਰੇ : 2
ਚੁਪੈ : 2
ਜਾਣਾ : 2
ਜਾਣੀਐ : 2
ਜਾਹੁ : 2
ਜਿਨ : 2
ਜੀਆ : 2
ਜੇਵਡੁ : 2
ਜੋਗ : 2
ਤਨੁ : 2
ਤਪ : 2
ਤਾਉ : 2
ਤਾਰ : 2
ਤਿਨਿ : 2
ਤਿਵੈ : 2
ਤੀਰਥਿ : 2
ਥਾਉ : 2
ਥਾਪਿ : 2
ਥਿਤਿ : 2
ਦਰਬਾਰੁ : 2
ਦਰਿ : 2
ਦਾਤਾਰ : 2
ਦਾਨਵ : 2
ਦਿਸੈ : 2
ਦੀਬਾਣੁ : 2
ਦੁਆਰੁ : 2
ਦੁਇ : 2
ਦੂ : 2
ਦੂਰਿ : 2
ਦੇਣਿ : 2
ਦੇਵ : 2
ਦੇਵੀ : 2
ਦੇਹ : 2
ਧਰਤਿ : 2
ਧਰਤੀ : 2
ਧਰੇ : 2
ਧਿਆਨੁ : 2
ਨਹ : 2
ਨਾਇ : 2
ਨਾਈ : 2
ਨਾਥ : 2
ਨਾਨਕੁ : 2
ਨਾਵ : 2
ਨਾਵੈ : 2
ਨਾਹਿ : 2
ਨਿਹਾਲ : 2
ਪਛੁਤਾਇ : 2
ਪਤਿ : 2
ਪਵਣ : 2
ਪਾਇਆ : 2
ਪਾਈਆ : 2
ਪਾਠ : 2
ਪਾਤਿਸਾਹੁ : 2
ਪਾਪੀ : 2
ਪਿਛੈ : 2
ਪੀਰ : 2
ਪੜਿ : 2
ਪੰਚੇ : 2
ਫੁਰਮਾਣੁ : 2
ਬਖਸੀਸ : 2
ਬਰਮੇ : 2
ਬਹਿ : 2
ਬੁਝਾਈ : 2
ਬੁਝੈ : 2
ਬੁਧ : 2
ਬੁਧਿ : 2
ਬੋਲਣੁ : 2
ਭਰੀਐ : 2
ਭਿ : 2
ਭੰਡਾਰ : 2
ਮਹਾਬਲ : 2
ਮਹਿ : 2
ਮਾਈ : 2
ਮਾਹਿ : 2
ਮਾਹੁ : 2
ਮਿਲੈ : 2
ਮੁਖਿ : 2
ਮੁਨਿ : 2
ਮੁਹਿ : 2
ਮੂਰਖ : 2
ਮੋਖੁ : 2
ਮੰਗਹਿ : 2
ਮੰਨੇ : 2
ਰਖੀਐ : 2
ਰਜਾਈ : 2
ਰਹਿਆ : 2
ਰਾਮੁ : 2
ਰਾਹੁ : 2
ਰੁਤੀ : 2
ਰੂਪ : 2
ਰੂਪੁ : 2
ਰੰਗ : 2
ਰੰਗੀ : 2
ਲਖੁ : 2
ਲਿਖੀਐ : 2
ਲੇਖੁ : 2
ਲੋਇ : 2
ਵਖਤੁ : 2
ਵਸੈ : 2
ਵਾਤ : 2
ਵਾਰੁ : 2
ਵਿਗਸੈ : 2
ਵਿਸਰਿ : 2
ਵੀਚਾਰੇ : 2
ਵੇਲਾ : 2
ਵੇਸ : 2
ਸਕੈ : 2
ਸਚਿਆਰੁ : 2
ਸਤਿ : 2
ਸਤੀ : 2
ਸਮੁੰਦ : 2
ਸਹਸ : 2
ਸਾਚੀ : 2
ਸਾਲਾਹ : 2
ਸਾਲਾਹੀ : 2
ਸਿ : 2
ਸਿਉ : 2
ਸਿਖ : 2
ਸੁ : 2
ਸੁਣਿ : 2
ਸੁਧਿ : 2
ਸੁਰਤੀ : 2
ਸੁਰਿ : 2
ਸੇਤੀ : 2
ਸੋਹਨਿ : 2
ਸੰਜੋਗੁ : 2
ਹਦੂਰਿ : 2
ਹੁਕਮੈ : 2
ਹੈ : 2
ਹੋਰਿ : 2
ਹੋਵਈ : 2
ਹੋਵਨਿ : 2
ਹੋਸੀ : 2
ਹੋਹਿ : 2
॥੧॥ : 3
ਅੰਦਰਿ : 3
ਆਵੈ : 3
ਇੰਦ : 3
ਈਸਰੁ : 3
ਊਚਾ : 3
ਏਹੁ : 3
ਕਉ : 3
ਕਹਾ : 3
ਕੀਤੇ : 3
ਕੁਦਰਤਿ : 3
ਕੇਤਾ : 3
ਖਾਹਿ : 3
ਗਿਆਨ : 3
ਗੁਣੁ : 3
ਗੁਰਮੁਖਿ : 3
ਚਲੈ : 3
ਜਾ : 3
ਜਿ : 3
ਜੋਧ : 3
ਤਾਣੁ : 3
ਤਿਨ : 3
ਤਿਵ : 3
ਤਿਸ : 3
ਤੇ : 3
ਤੇਰੇ : 3
ਦਇਆ : 3
ਦਾਤਾ : 3
ਦੇ : 3
ਧਰਮ : 3
ਨਾਦ : 3
ਨਾਲੇ : 3
ਨੀਚੁ : 3
ਨੀਸਾਣੁ : 3
ਪਰਵਾਣੁ : 3
ਪਾਇ : 3
ਪਾਤਾਲ : 3
ਪੰਚ : 3
ਬਰਮਾ : 3
ਭਗਤ : 3
ਭੀ : 3
ਮੰਡਲ : 3
ਰਤਨ : 3
ਲਾਇ : 3
ਲਿਵ : 3
ਲੇਖਾ : 3
ਵਡਿਆਈ : 3
ਸਗਲ : 3
ਸਚਾ : 3
ਸਭਨਾ : 3
ਸਾਚਾ : 3
ਸੁਰਤਿ : 3
ਸੂਰ : 3
ਸੰਤੋਖੁ : 3
ਹੁਕਮਿ : 3
ਅਖਰੀ : 4
ਅਨਾਦਿ : 4
ਅਨਾਹਤਿ : 4
ਅਨੀਲੁ : 4
ਅੰਤ : 4
ਆਖਣਿ : 4
ਆਖਿ : 4
ਏਕ : 4
ਐਸਾ : 4
ਓਹੁ : 4
ਕਰਮੁ : 4
ਕਰਹਿ : 4
ਕਰੇ : 4
ਕਵਣ : 4
ਕਿ : 4
ਕੇਤੀਆ : 4
ਗਿਆਨੁ : 4
ਘੜੀਐ : 4
ਜਾਵਾ : 4
ਜਿਤੁ : 4
ਜੀਅ : 4
ਜੁਗਤਿ : 4
ਤਿਸੈ : 4
ਤੂ : 4
ਦੇਹਿ : 4
ਨਾਲਿ : 4
ਨਾਸੁ : 4
ਨਾਹੀ : 4
ਨਿਰੰਕਾਰ : 4
ਪਾਪ : 4
ਪਾਵਹਿ : 4
ਪਾਹਿ : 4
ਬਹੁਤਾ : 4
ਬਾਣੀ : 4
ਭਗਤਾ : 4
ਭਲੀ : 4
ਭਾਰੁ : 4
ਮਤਿ : 4
ਮਾਨੁ : 4
ਮੈ : 4
ਮੰਨਿ : 4
ਲਿਖਿਆ : 4
ਵਡਾ : 4
ਵਾਰਿਆ : 4
ਵਿਗਾਸੁ : 4
ਵਿਚਿ : 4
ਵਿਣੁ : 4
ਵੇਦ : 4
ਵੇਸੁ : 4
ਸਭੁ : 4
ਸਲਾਮਤਿ : 4
ਸਾਈ : 4
ਸਾਹਿਬੁ : 4
ਸਿਧ : 4
ਸੋਈ : 4
ਹੁਕਮੁ : 4
ਆਦਿ : 5
ਏਕੋ : 5
ਕਰਮੀ : 5
ਕਵਣੁ : 5
ਕਹੈ : 5
ਕਿਵ : 5
ਗਾਵਨਿ : 5
ਗੁਰੁ : 5
ਜਾਈ : 5
ਜਾਪੈ : 5
ਜਿਨਿ : 5
ਤ : 5
ਤਾ : 5
ਤੁਧੁ : 5
ਦਾਤਿ : 5
ਦੂਖ : 5
ਨਦਰਿ : 5
ਨਦਰੀ : 5
ਨਾਉ : 5
ਨਿਰੰਜਨੁ : 5
ਪਾਣੀ : 5
ਭਾਉ : 5
ਲੋਅ : 5
ਸਿਰਿ : 5
ਸੋ : 5
ਸੋਇ : 5
ਆਪਿ : 6
ਕੈ : 6
ਗੁਣ : 6
ਜਿਵ : 6
ਧਰਮੁ : 6
ਨਾ : 6
ਲਿਖਿ : 6
ਲੈ : 6
ਸਚੁ : 6
ਹੋਰੁ : 6
ਅਮੁਲ : 7
ਇਕ : 7
ਇਕੁ : 7
ਕੀਤਾ : 7
ਖੰਡ : 7
ਜੋ : 7
ਭਾਵੈ : 7
ਲਖ : 7
ਵਾਰ : 7
ਵੇਖੈ : 7
